2022/06/12 15:20:15 [error] 8528#22660: *1 CreateFile() "C:\Users\LJY\project\nginx-1.22.0\nginx-1.22.0/html/favicon.ico" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /favicon.ico HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2022/06/12 15:36:41 [error] 8528#22660: *14 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: chat.com, request: "GET /api/user/login HTTP/1.1", upstream: "http://[::1]:8080/user/login", host: "chat.com"
2022/06/26 16:45:32 [error] 14860#27260: *12 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: chat.com, request: "POST /api/sign HTTP/1.1", upstream: "http://[::1]:8080/sign", host: "chat.com", referrer: "http://chat.com/sign"
2022/06/26 16:48:13 [error] 14860#27260: *24 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: chat.com, request: "POST /api/user/signup HTTP/1.1", upstream: "http://[::1]:8080/user/signup", host: "chat.com", referrer: "http://chat.com/sign"
2022/06/26 16:50:43 [error] 14860#27260: *24 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: chat.com, request: "POST /api/user/signup HTTP/1.1", upstream: "http://[::1]:8080/user/signup", host: "chat.com", referrer: "http://chat.com/sign"
2022/06/26 16:55:06 [error] 13672#19036: *8 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: chat.com, request: "GET /api/user/signup HTTP/1.1", upstream: "http://[::1]:8080/api/user/signup", host: "chat.com"
2022/06/26 18:16:21 [error] 13672#19036: *17 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: chat.com, request: "POST /api/user/login HTTP/1.1", upstream: "http://[::1]:8080/api/user/login", host: "chat.com", referrer: "http://chat.com/login"
2022/06/26 18:16:55 [error] 13672#19036: *17 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: chat.com, request: "GET /api/chatroom HTTP/1.1", upstream: "http://[::1]:8080/api/chatroom", host: "chat.com"
2022/06/26 18:17:40 [error] 13672#19036: *17 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: chat.com, request: "GET /api/chatroom/ HTTP/1.1", upstream: "http://[::1]:8080/api/chatroom/", host: "chat.com"
2022/06/26 18:20:42 [error] 13672#19036: *68 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: chat.com, request: "GET /api/chatroom/?userid=3 HTTP/1.1", upstream: "http://[::1]:8080/api/chatroom/?userid=3", host: "chat.com", referrer: "http://chat.com/"
2022/07/03 10:06:13 [error] 14632#5196: *2 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: chat.com, request: "POST /api/user/login HTTP/1.1", upstream: "http://[::1]:8080/api/user/login", host: "chat.com", referrer: "http://chat.com/login"
2022/07/03 10:07:17 [error] 14632#5196: *6 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: chat.com, request: "GET /api/chatroom/?userid=4 HTTP/1.1", upstream: "http://[::1]:8080/api/chatroom/?userid=4", host: "chat.com", referrer: "http://chat.com/"
2022/07/03 11:09:08 [error] 14632#5196: *65 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: chat.com, request: "GET /api/chatroom/?userid=4 HTTP/1.1", upstream: "http://[::1]:8080/api/chatroom/?userid=4", host: "chat.com", referrer: "http://chat.com/"
2022/07/03 11:10:39 [error] 14632#5196: *64 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: chat.com, request: "POST /api/user/login HTTP/1.1", upstream: "http://[::1]:8080/api/user/login", host: "chat.com", referrer: "http://chat.com/login"
2022/07/03 11:44:43 [error] 14632#5196: *105 upstream prematurely closed connection while reading response header from upstream, client: 127.0.0.1, server: chat.com, request: "GET /api/chatroom/?userid=4 HTTP/1.1", upstream: "http://127.0.0.1:8080/api/chatroom/?userid=4", host: "chat.com", referrer: "http://chat.com/"
2022/07/03 11:44:45 [error] 14632#5196: *105 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: chat.com, request: "GET /api/chatroom/?userid=4 HTTP/1.1", upstream: "http://[::1]:8080/api/chatroom/?userid=4", host: "chat.com", referrer: "http://chat.com/"
2022/07/03 11:45:34 [error] 14632#5196: *104 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: chat.com, request: "POST /api/user/login HTTP/1.1", upstream: "http://[::1]:8080/api/user/login", host: "chat.com", referrer: "http://chat.com/login"
2022/07/03 11:46:17 [error] 14632#5196: *104 upstream prematurely closed connection while reading response header from upstream, client: 127.0.0.1, server: chat.com, request: "GET /api/chatroom/?userid=4 HTTP/1.1", upstream: "http://127.0.0.1:8080/api/chatroom/?userid=4", host: "chat.com", referrer: "http://chat.com/"
2022/07/03 11:46:19 [error] 14632#5196: *104 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: chat.com, request: "GET /api/chatroom/?userid=4 HTTP/1.1", upstream: "http://[::1]:8080/api/chatroom/?userid=4", host: "chat.com", referrer: "http://chat.com/"
2022/07/03 11:48:36 [error] 14632#5196: *153 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: chat.com, request: "GET /api/chatroom/?userid=4 HTTP/1.1", upstream: "http://[::1]:8080/api/chatroom/?userid=4", host: "chat.com", referrer: "http://chat.com/"
2022/07/03 11:48:36 [error] 14632#5196: *153 upstream prematurely closed connection while reading response header from upstream, client: 127.0.0.1, server: chat.com, request: "GET /api/chatroom/?userid=4 HTTP/1.1", upstream: "http://127.0.0.1:8080/api/chatroom/?userid=4", host: "chat.com", referrer: "http://chat.com/"
2022/07/03 11:49:34 [error] 14632#5196: *152 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: chat.com, request: "GET /api/chatroom/?userid=4 HTTP/1.1", upstream: "http://[::1]:8080/api/chatroom/?userid=4", host: "chat.com", referrer: "http://chat.com/"
2022/07/03 12:06:31 [error] 14632#5196: *173 upstream prematurely closed connection while reading response header from upstream, client: 127.0.0.1, server: chat.com, request: "GET /api/chatroom/?userid=4 HTTP/1.1", upstream: "http://127.0.0.1:8080/api/chatroom/?userid=4", host: "chat.com", referrer: "http://chat.com/"
2022/07/03 12:06:33 [error] 14632#5196: *173 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: chat.com, request: "GET /api/chatroom/?userid=4 HTTP/1.1", upstream: "http://[::1]:8080/api/chatroom/?userid=4", host: "chat.com", referrer: "http://chat.com/"
2022/07/03 12:11:43 [error] 14632#5196: *186 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: chat.com, request: "GET /api/chatroom/?userid=4 HTTP/1.1", upstream: "http://[::1]:8080/api/chatroom/?userid=4", host: "chat.com", referrer: "http://chat.com/"
2022/07/03 12:12:04 [error] 14632#5196: *185 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: chat.com, request: "GET /api/chatroom/?userid=4 HTTP/1.1", upstream: "http://[::1]:8080/api/chatroom/?userid=4", host: "chat.com", referrer: "http://chat.com/"
2022/07/10 09:56:49 [error] 18440#24736: *2 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: chat.com, request: "GET / HTTP/1.1", upstream: "http://127.0.0.1:30000/", host: "chat.com"
2022/07/17 10:16:05 [error] 15752#2100: *2 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: chat.com, request: "GET / HTTP/1.1", upstream: "http://127.0.0.1:30000/", host: "chat.com"
2022/07/17 10:16:08 [error] 15752#2100: *2 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: chat.com, request: "GET /favicon.ico HTTP/1.1", upstream: "http://127.0.0.1:30000/favicon.ico", host: "chat.com", referrer: "http://chat.com/"
2022/07/17 10:16:59 [error] 15752#2100: *2 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: chat.com, request: "GET / HTTP/1.1", upstream: "http://127.0.0.1:30000/", host: "chat.com"
2022/07/17 10:17:02 [error] 15752#2100: *2 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: chat.com, request: "GET /favicon.ico HTTP/1.1", upstream: "http://127.0.0.1:30000/favicon.ico", host: "chat.com", referrer: "http://chat.com/"
2022/07/17 10:18:59 [error] 15752#2100: *8 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: chat.com, request: "GET /api/chatroom/?userid=4 HTTP/1.1", upstream: "http://[::1]:8080/api/chatroom/?userid=4", host: "chat.com", referrer: "http://chat.com/"
2022/07/17 10:22:27 [error] 15752#2100: *36 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: chat.com, request: "GET /api/chatroom/?userid=4 HTTP/1.1", upstream: "http://[::1]:8080/api/chatroom/?userid=4", host: "chat.com", referrer: "http://chat.com/"
2022/07/17 10:35:30 [error] 15752#2100: *49 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: chat.com, request: "GET /login HTTP/1.1", upstream: "http://127.0.0.1:30000/login", host: "chat.com"
2022/07/17 10:35:32 [error] 15752#2100: *49 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: chat.com, request: "GET /favicon.ico HTTP/1.1", upstream: "http://127.0.0.1:30000/favicon.ico", host: "chat.com", referrer: "http://chat.com/login"
2022/07/17 10:49:45 [error] 15752#2100: *109 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: chat.com, request: "GET /api/user/check HTTP/1.1", upstream: "http://[::1]:8080/api/user/check", host: "chat.com", referrer: "http://chat.com/login"
2022/07/17 10:49:58 [error] 15752#2100: *109 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: chat.com, request: "GET /api/user/check HTTP/1.1", upstream: "http://[::1]:8080/api/user/check", host: "chat.com", referrer: "http://chat.com/login"
2022/07/17 10:50:11 [error] 15752#2100: *109 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: chat.com, request: "GET /api/user/check HTTP/1.1", upstream: "http://[::1]:8080/api/user/check", host: "chat.com", referrer: "http://chat.com/login"
2022/07/17 10:50:24 [error] 15752#2100: *110 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: chat.com, request: "GET /api/user/check HTTP/1.1", upstream: "http://[::1]:8080/api/user/check", host: "chat.com", referrer: "http://chat.com/login"
